id_klient;id_ulica;imie;nazwisko;nr_tel;email
1;401;Aldridge;O' Flaherty;615-249-7840;aoflaherty0@apache.org
2;402;Daisy;Erbe;736-287-1685;derbe1@networkadvertising.org
3;403;Fergus;Burnhill;676-820-6941;fburnhill2@uiuc.edu
4;404;Vida;Kubin;530-959-4502;vkubin3@tmall.com
5;405;Pebrook;Gricks;484-413-3038;pgricks4@cam.ac.uk
6;406;Hillary;Widdop;719-348-4411;hwiddop5@topsy.com
7;407;Kit;Kealey;513-800-3755;kkealey6@sohu.com
8;408;Matilda;Finden;521-485-6614;mfinden7@hp.com
9;409;Reina;Joule;229-704-9826;rjoule8@dmoz.org
10;410;Sherry;Livesay;596-625-8811;slivesay9@edublogs.org
11;411;Dewey;Yurygyn;321-764-4267;dyurygyna@bbc.co.uk
12;412;Shaylah;Winchurst;754-495-6182;swinchurstb@ucsd.edu
13;413;Laurene;Scotford;748-341-8057;lscotfordc@wp.com
14;414;Viv;Perrelli;332-764-9558;vperrellid@booking.com
15;415;Erek;Passe;497-494-2951;epassee@woothemes.com
16;416;Tildi;Clemencon;180-622-4746;tclemenconf@princeton.edu
17;417;Abbie;Ambroisin;612-592-5240;aambroising@woothemes.com
18;418;Trix;Mapam;138-123-0144;tmapamh@51.la
19;419;Clea;Jelleman;968-793-4928;cjellemani@nsw.gov.au
20;420;Eleni;Bradforth;486-208-8371;ebradforthj@live.com
21;421;Lizzy;Blodgett;253-174-0881;lblodgettk@4shared.com
22;422;Quintus;Cockren;885-138-3477;qcockrenl@mit.edu
23;423;Janel;Clayworth;690-991-9921;jclayworthm@zdnet.com
24;424;Ebba;McVeigh;629-925-3047;emcveighn@indiatimes.com
25;425;Talbot;Dearnly;876-777-8553;tdearnlyo@nyu.edu
26;426;Sophia;Bitcheno;572-751-0141;sbitchenop@comsenz.com
27;427;Shandeigh;Buie;642-643-7225;sbuieq@unesco.org
28;428;Ashlie;Barosch;786-623-6250;abaroschr@pinterest.com
29;429;Jamey;McKeggie;306-258-3433;jmckeggies@baidu.com
30;430;Donaugh;MacCole;278-592-5864;dmaccolet@deliciousdays.com
31;431;Merilyn;Piesold;574-329-9869;mpiesoldu@histats.com
32;432;Janie;Baldi;919-144-6909;jbaldiv@nifty.com
33;433;Natalina;Morrallee;769-858-2150;nmorralleew@ask.com
34;434;Annis;Mecozzi;734-280-6038;amecozzix@is.gd
35;435;Annelise;Pikett;746-385-4476;apiketty@vkontakte.ru
36;436;Ruthann;Pumphreys;927-384-7368;rpumphreysz@topsy.com
37;437;Tobi;Spilsbury;163-125-5136;tspilsbury10@smugmug.com
38;438;Cornelia;Kynsey;433-355-4190;ckynsey11@columbia.edu
39;439;Faulkner;Hows;254-712-0361;fhows12@goodreads.com
40;440;Demetri;Jury;882-125-0049;djury13@nps.gov
